#{sid};{kb};{ec};{eg};{pr};{correct};{wrong};{unanswered};{invalid};{irrelevant};{final_rating:.1f};{performance:.5f};{topic}
1;2;1;1;5;7;3;0;0;2;0.5;0.70000;Abraham Lincoln
2;2;1;1;2;9;0;1;0;5;0.0;0.33333;Athena
3;3;1;1;4;9;1;0;0;2;0.5;0.70000;Elephant
4;2;1;1;6;8;2;0;0;0;0.5;0.83333;Czech Republic
5;2;1;1;5;7;1;0;0;0;0.5;0.80769;Rwandan Genocide
6;2;1;1;6;9;1;0;1;2;0.5;0.63333;World War II
7;2;1;1;4;1;2;0;1;0;0.5;0.56250;Mouse
8;2;1;1;5;5;1;0;0;0;0.5;0.77273;Computer science
9;3;1;1;3;4;6;0;0;0;0.5;0.83333;Napoleon
10;2;1;1;5;8;2;0;0;0;1.0;1.00000;Algorithm
11;2;1;1;1;4;2;0;0;0;0.5;0.77273;elephant
12;2;1;1;6;5;5;0;0;1;0.5;0.76667;Magic: The Gathering
13;3;1;1;5;5;1;1;0;1;0.5;0.70833;Continuous function
14;2;1;1;2;10;0;0;0;0;1.0;1.00000;Jan Hus
15;3;1;1;3;6;3;0;0;0;0.5;0.82143;Tajikistan
16;3;1;1;6;6;4;0;0;0;0.5;0.83333;Mathematics
17;3;1;1;3;5;2;3;0;3;1.0;0.80000;Abraham Lincoln
18;3;1;1;1;4;6;0;0;0;0.5;0.83333;Wish You Were Here (Pink Floyd album)
19;3;1;1;3;7;3;0;0;0;0.5;0.83333;Gilded Age
20;3;1;1;4;8;1;1;1;0;0.5;0.76667;Magnetism
21;3;1;1;3;7;3;0;0;0;0.5;0.83333;Elephant
22;2;1;1;6;9;0;0;0;0;0.5;0.82143;Hatsuharu-class destroyer
23;2;1;1;2;8;0;0;0;0;0.5;0.80769;Machine translation
24;3;1;1;5;4;6;0;0;0;0.5;0.83333;Oxygen
25;2;1;1;4;5;4;0;0;0;0.5;0.82143;Formula One
26;3;1;1;4;2;1;0;0;0;0.5;0.68750;Fyodor Dostoyevsky
27;2;1;1;2;1;1;0;0;0;0.5;0.64286;2014 Formula One season
28;3;1;1;6;8;2;0;0;0;0.5;0.83333;24 Hours of Le Mans
29;2;1;1;6;9;1;0;0;0;0.5;0.83333;24 Hours of Le Mans
30;3;1;1;1;8;2;0;0;0;1.0;1.00000;Linear programming
31;3;1;1;3;2;1;1;0;1;0.5;0.61111;Shortest path problem
32;3;1;1;3;6;4;0;0;0;0.5;0.83333;Topology
33;3;1;1;2;8;1;0;0;0;0.5;0.82143;Hash function
34;3;1;1;5;7;3;0;0;0;0.5;0.83333;Elephant
35;3;1;1;1;6;2;2;0;2;0.5;0.70000;Abraham Lincoln
36;3;1;1;2;5;1;0;0;1;0.5;0.68182;Bellman–Ford algorithm
37;3;1;1;6;5;5;0;0;0;1.0;1.00000;Star Wars
38;2;1;1;4;4;0;0;0;0;0.5;0.72222;Star Wars
39;2;1;1;2;1;6;0;2;0;0.5;0.62500;Bellman–Ford algorithm
40;3;1;1;2;5;5;0;0;0;0.0;0.66667;Grammar
41;2;1;1;4;5;3;2;0;2;1.0;0.86667;Abraham Lincoln
42;3;1;1;1;4;4;0;0;0;0.5;0.80769;Star Wars
43;2;1;1;5;3;7;0;0;0;1.0;1.00000;Volumetric flow rate
44;2;1;1;6;3;3;0;0;1;0.5;0.68182;Game of Thrones
45;3;1;1;1;6;3;1;1;0;1.0;0.93333;Abraham Lincoln
46;2;1;1;4;10;0;0;0;0;0.5;0.83333;World War II
47;3;1;1;1;7;3;0;0;0;0.5;0.83333;Educational psychology
48;3;1;1;2;7;0;3;1;3;0.5;0.56667;History of Denmark
49;3;1;1;6;8;2;0;0;0;0.0;0.66667;Intelligence
50;2;1;1;6;6;2;1;1;0;0.5;0.75000;History of Denmark
51;2;1;1;5;7;3;0;0;0;1.0;1.00000;Amanda Palmer
52;3;1;1;4;7;2;1;1;0;1.0;0.93333;History of Denmark
53;2;1;1;4;1;1;1;0;2;0.5;0.43750;Doctor Who
54;3;1;1;1;9;1;0;0;0;1.0;1.00000;Czech republic
55;2;1;1;1;7;3;0;0;0;1.0;1.00000;Doctor Who
56;3;1;1;2;9;1;0;0;0;1.0;1.00000;Karel Čapek
57;3;1;1;2;7;2;1;1;0;0.5;0.76667;Model checking
58;2;1;1;1;7;0;3;3;0;0.5;0.63333;Model checking
59;2;1;1;4;8;2;0;0;0;1.0;1.00000;Czech Republic
60;3;1;1;6;10;0;0;0;0;1.0;1.00000;Brno
61;3;1;1;1;0;2;0;0;2;0.5;0.35714;Instagram
62;3;1;1;2;1;3;0;0;2;0.5;0.50000;Jan Hus
63;2;1;1;5;6;4;0;0;0;1.0;1.00000;Star Wars
64;3;1;1;1;3;2;0;0;0;0.5;0.75000;Fyodor Dostoyevsky
65;2;1;1;1;7;2;0;0;0;0.5;0.82143;Dependent type
66;3;1;1;4;7;2;1;1;0;1.0;0.93333;Star Wars
67;3;1;1;6;7;3;0;0;0;1.0;1.00000;History of Denmark
68;2;1;1;4;6;2;2;1;1;1.0;0.86667;Abraham Lincoln
69;3;1;1;4;7;3;0;0;0;1.0;1.00000;Abraham Lincoln
70;3;1;1;4;7;1;2;1;1;1.0;0.86667;B-tree
71;3;1;1;6;5;4;1;1;0;1.0;0.93333;Robot
